Sr. No.,Filename,Struct/Dsect,Name
1,cclwrcw.hpp,LwrCommon,invalidSeNumber
2,cclwrcw.hpp,LwrCommon,invalidCardNumber
3,cclwrcw.hpp,LwrCommon,invalidAmount
4,cclwrcw.hpp,LwrCommon,invalidSecurityCodeLength
5,lwrpauth.hpp,PlasticAuth,exitIndicator
6,lwrpauth.hpp,PlasticAuth,editError4dbc
7,cclwrpo.hpp,PlasticAuth,appliedPaddingToInput4DBC
8,cclwrcw.hpp,LwrCommon,gnaBalXferInd
9,cclwrcw.hpp,LwrCommon,specialRoutingMember
10,casvis.hpp,CasVision1,plastAuthActive
11,casvis.hpp,CasVision1,carverActive
12,lwrpauth.hpp,PlasticAuth,tableCollectedIndicator
13,cclwrcw.hpp,LwrCommon,entryIndicator
14,ccle2e2.hpp,Le2generalHeader,messageType
15,ccir1ir.hpp,Ir1irHeader,transactionCode
16,cclwrcw.hpp,LwrCommon,transactionSourceOfInput
17,cclwrcw.hpp,LwrCommon,securityCode.length
18,cclwrcw.hpp,LwrCommon,securityCode.data1
19,cclwrcw.hpp,LwrCommon,securityCode.data2
20,ccle2e2.hpp,Le2InputMessageFields,expirationDate
21,cclwrcw.hpp,LwrCommon,expressPay
22,cclwrnd.hpp,LWRND_DERIVED,lsWalletProviderIndicator
23,cclwrcw.hpp,LwrCommon,canadaEmvContactless
24,cclwris.hpp,Df61AcqToCas,df61AcqToCas.df61Length1
25,cclwrnd.hpp,LWRND_DERIVED,eCIIndicator1
26,cclwrnd.hpp,LWRND_DERIVED,aESKAuthResultCode1
27,cclwrcw.hpp,LwrCommon,keyed4dbcFromSwipe4dbc
28,cchsmra.hpp,VerifyCsc_35AV2,serviceCode
29,cclwrcw.hpp,LwrCommon,receivedIsoField47PassengerName
30,cclwrcw.hpp,LwrCommon,cidInquiryAttempt
31,ccle8e8.hpp,AuthInfo,inputCid
32,cclwrcw.hpp,LwrCommon,unscrambledInputCid
33,cclwrcw.hpp,LwrCommon,scrambledInputCid
34,cclwrcw.hpp,LwrCommon,unscrambled4dbcCid
35,cclwrcw.hpp,LwrCommon,match4dbc3csc
36,cclwrcw.hpp,LwrCommon,matchNoUncheck
37,cclwrpo.hpp,PlasticAuth,db3cscMatch
38,cclwrpo.hpp,PlasticAuth,reconstruct3cscMatch
39,ccl7e7e.hpp,L7e7e,hsmReturnCode
40,cclwrcw.hpp,LwrCommon,hsmUsed5csc
41,cclwrcw.hpp,LwrCommon,hsmMatch5csc
42,cclwrcw.hpp,LwrCommon,cvvMatchResult
43,cclwrcw.hpp,LwrCommon,aevvCasValidResult
44,cclwrcw.hpp,LwrCommon,cidioReturnCode
45,cidrec.hpp,AllCidRecords,numberOfCidRecords
46,cclwrpo.hpp,PlasticAuth,cidDbSelect
47,cclwrpo.hpp,PlasticAuth,MatchCidInd
48,cclwrpo.hpp,PlasticAuth,softCardResult
49,cclwrcw.hpp,LwrCommon,db5cid
50,cclwrcw.hpp,LwrCommon,db5csc
51,pauth.hpp,SelectWorkArea,db4csc
52,pauth.hpp,SelectWorkArea,db3csc
53,cclwrcw.hpp,LwrCommon,dbExpiredDateMmYy
54,cclwrcw.hpp,LwrCommon,dbEffectiveDateMmYy
55,cclwrcw.hpp,LwrCommon,dbCreateDateYyDdd
56,cclwrcw.hpp,LwrCommon,dbEmbossType
57,cclwrcw.hpp,LwrCommon,dbCardSecurityCodePresent
58,cclwrcw.hpp,LwrCommon,dbReissuedCard
59,cclwrcw.hpp,LwrCommon,dbEcrFlag
60,cclwrcw.hpp,LwrCommon,dbCrtFlag
61,cclwrcw.hpp,LwrCommon,dbPlzCallItemExists
62,cclwrcw.hpp,LwrCommon,dbItemAddChangeBy11
63,cclwrcw.hpp,LwrCommon,dbReconcileFlag
64,cclwrcw.hpp,LwrCommon,dbMassCorrectedFlag
